,CDSID,Invoice_count,Total_MWh,Revenue,Cost,Total_margin,Margin,Margin_per_invoice,MWh_per_invoice,State,Zip,dwelling_type,homeowner_probability_model,home_swimming_pool,home_air_conditioning,home_heating_system,home_sewer,home_water,census_median_home_value,census_median_hh_income,Home_Year_Built,Home_Purchase_Price_Code,Home_Purchase_Year,Home_Est_Current_Value_Code,density,property_home_square_footage,property_land_square_footage,gender,dob_yr,marital_status,occupation_group,education_of_person,length_of_residence_code,number_of_persons_in_unit,single_parent,estimated_income_code,household_net_worth,Secondary_Address_Present,presence_of_children,number_of_children,number_of_adults,consumer_electronics,computer_owner,cooking_enthusiast,Pets_Multi,gardening,home_decor_enthusiast,home_improvement_grouping,outdoor_enthusiast,Travel_Grouping,medIncome,avgIncome,percapIncome,highIncomePct
0,269763737,52,69.2,3710.73,4934.44,-1223.71,Negative,-23.53,1.33,OH,45102,S,H,Y,A,G,3,3,1089,699,1931,4,2005,H,3873,2400.0,56000.0,M,1976,M,E,A,12,8,,N,D,N,Y,5.0,3,2.0,Y,Y,Y,Y,Y,Y,Y,Y,64030.0,77557.0,30770.0,0.028
1,271713840,26,12.7,680.75,789.77,-109.02,Negative,-4.19,0.49,OH,45102,S,H,,A,G,3,3,1041,699,1940,2,2004,D,3980,1100.0,12000.0,M,1965,S,D,,13,2,,N,E,N,N,0.0,2,2.0,Y,Y,,,,Y,Y,,64030.0,77557.0,30770.0,0.028
2,274166818,26,26.4,1412.53,1502.97,-90.44,Negative,-3.48,1.02,OH,45102,S,H,,A,,3,3,1361,699,2000,4,2005,H,3137,2300.0,29000.0,F,1976,M,Z,B,12,9,,P,G,N,Y,8.0,2,2.0,Y,Y,,,Y,Y,,Y,64030.0,77557.0,30770.0,0.028
3,269551170,26,29.0,1556.07,1639.24,-83.17,Negative,-3.2,1.12,OH,45102,S,H,Y,A,G,3,3,1361,699,1990,0,2010,I,8365,2400.0,10000.0,M,1949,M,Z,A,7,4,,N,G,N,Y,1.0,3,3.0,Y,Y,Y,Y,Y,Y,,Y,64030.0,77557.0,30770.0,0.028
4,273127520,26,27.6,1477.62,1539.07,-61.45,Negative,-2.36,1.06,OH,45102,S,H,,A,,3,3,1120,699,2002,3,2010,H,875,2300.0,27000.0,F,1974,M,D,,7,6,,Q,G,N,Y,3.0,3,,,,,,,,,,64030.0,77557.0,30770.0,0.028
5,275091537,26,22.5,1205.15,1250.14,-44.99,Negative,-1.73,0.87,OH,45102,S,H,,A,G,3,3,1089,699,1947,1,2016,F,1398,1900.0,19000.0,M,1957,M,Y,C,11,8,,O,D,N,Y,4.0,4,3.0,Y,Y,,Y,Y,Y,Y,Y,64030.0,77557.0,30770.0,0.028
6,271649045,26,10.9,582.88,614.21,-31.33,Negative,-1.2,0.42,OH,45102,S,H,,A,,3,3,1169,436,1998,3,2004,G,3289,1900.0,11000.0,F,1973,M,D,B,14,7,,Q,F,N,Y,5.0,2,2.0,Y,Y,Y,,Y,Y,Y,Y,64030.0,77557.0,30770.0,0.028
7,270816578,26,15.4,825.39,850.06,-24.67,Negative,-0.95,0.59,OH,45102,S,H,,A,G,3,3,1361,699,1996,3,2005,G,5297,1700.0,12000.0,M,1945,M,D,B,12,2,,O,G,N,N,0.0,2,1.0,Y,Y,Y,Y,,,,Y,64030.0,77557.0,30770.0,0.028
8,358708617,26,14.7,787.5,811.92,-24.42,Negative,-0.94,0.57,OH,45102,S,H,,A,G,3,3,1361,699,1995,0,2010,G,5929,1700.0,10000.0,F,1941,S,W,,7,1,,L,G,N,N,0.0,1,2.0,Y,Y,Y,,Y,Y,,Y,64030.0,77557.0,30770.0,0.028
9,271745606,26,12.7,680.94,695.53,-14.59,Negative,-0.56,0.49,OH,45102,S,H,,A,G,3,3,1361,699,1992,3,2001,H,5208,2200.0,24000.0,F,1949,S,D,A,15,1,,L,H,N,,,1,2.0,Y,Y,,Y,Y,Y,Y,Y,64030.0,77557.0,30770.0,0.028
