"","Zip","medIncome","avgIncome","percapIncome","highIncomePct"
"1",45102,64030,77557,30770,0.028
"2",44820,47060,60821,26716,0.014
"3",45432,60414,76267,33265,0.043
"4",45305,93152,118763,48075,0.14
"5",43119,69699,83887,31606,0.031
"6",43302,44943,61235,23508,0.025
"7",44515,46735,59846,27464,0.022
"8",45434,108811,127734,48752,0.145
"9",45314,63750,95473,23334,0.086
"10",45103,68400,87828,35376,0.049
"11",43235,80310,103619,45027,0.095
"12",44709,47343,59007,26738,0.016
"13",45891,49746,62405,26242,0.023
"14",44669,59219,68101,24967,0.016
"15",43947,56183,67935,29348,0.011
"16",45714,47924,66661,29357,0.027
"17",44718,70897,99594,45500,0.095
"18",43123,73391,88688,34767,0.049
"19",44714,43005,50337,24791,0.008
"20",45429,65758,90287,40920,0.063
"21",45335,65843,78713,30824,0.023
"22",45240,60281,73576,28128,0.031
"23",45424,66080,77004,29177,0.025
"24",44708,55645,75099,32812,0.034
"25",45324,49562,62461,26853,0.02
"26",45056,44363,66343,21939,0.053
"27",45410,36596,47064,20639,0.008
"28",45430,88209,101173,42378,0.061
"29",43221,98140,143975,59615,0.175
"30",43420,48913,60901,25665,0.017
"31",44004,39523,52599,22973,0.01
"32",45631,45766,65354,28498,0.023
"33",45680,44535,62301,25096,0.023
"34",45833,61545,72581,29317,0.028
"35",44646,54813,75104,31356,0.049
"36",43138,49852,59181,24316,0.014
"37",44705,34291,49225,18933,0.016
"38",45385,57511,78627,32243,0.058
"39",43212,67165,100071,54169,0.1
"40",43065,136702,168086,59263,0.272
"41",43023,105361,135040,41581,0.164
"42",44703,30085,43227,20535,0.009
"43",45780,33264,58540,28216,0.034
"44",45880,63191,70928,27614,0.035
"45",43232,41255,49909,21041,0.004
"46",45230,68654,92693,39501,0.08
"47",43143,70789,78754,30406,0.041
"48",43081,82999,95029,38339,0.054
"49",44512,55190,70274,31969,0.03
"50",45420,43501,53966,25545,0.004
"51",44321,92209,114760,46382,0.124
"52",45431,62962,82592,36307,0.05
"53",45601,49654,65595,24912,0.03
"54",45370,78083,94240,37405,0.061
"55",44691,55143,70171,29128,0.037
"56",45417,27374,37889,16189,0.003
"57",43068,64626,76611,30408,0.029
"58",43551,84225,106986,43793,0.106
"59",44403,56763,75565,33567,0.054
"60",43026,89129,105877,40590,0.093
"61",45863,62803,65640,24254,0
"62",44312,52162,64208,28190,0.015
"63",44641,65366,73568,29826,0.017
"64",44240,46268,66733,28709,0.036
"65",45805,53523,65309,28005,0.031
"66",43920,43642,56414,23673,0.015
"67",43623,54573,74960,34429,0.049
"68",45750,45900,67277,29798,0.033
"69",45242,104231,144735,56786,0.21
"70",44319,63530,78695,34865,0.044
"71",44830,45394,61996,25773,0.015
"72",44404,75250,76696,29661,0.013
"73",44883,49672,65922,27100,0.02
"74",43228,49336,60121,24361,0.013
"75",43613,53320,61853,26534,0.012
"76",44514,67647,85731,38316,0.05
"77",43207,46162,55354,22173,0.011
"78",44107,53324,73405,36480,0.049
"79",45069,98563,122630,45773,0.143
"80",43227,38919,50391,20957,0.005
"81",45387,65304,87163,41897,0.072
"82",44130,56981,68014,30981,0.023
"83",43606,44971,71347,29267,0.045
